Parent,ChildType,Children
Earth,Continent,"africa,antarctica,asia,europe,northamerica"
africa,Country,"country/AGO,country/ATF,country/BDI,country/BEN,country/BFA"
antarctica,Country,"country/ATA,country/ATB,country/ATF,country/ATN,country/BVT"
asia,Country,"country/AFG,country/ARE,country/ARM,country/AZE,country/BGD"
europe,Country,"country/ALA,country/ALB,country/AND,country/ANT,country/ARM"
northamerica,Country,"country/AIA,country/ASM,country/ATG,country/BES,country/BHS"
oceania,Country,"country/ASM,country/AUS,country/CCK,country/COK,country/CTE"
southamerica,Country,"country/ABW,country/ARG,country/BOL,country/BRA,country/CHL"
Earth,Country,"country/USA,country/CHN,country/IND,country/AUS,country/FRA,country/BRA"
country/USA,State,"geoId/01,geoId/02,geoId/04,geoId/05,geoId/06"
geoId/01,County,"geoId/01001,geoId/01003,geoId/01005,geoId/01007,geoId/01009"
geoId/01133,City,"geoId/0100484,geoId/0102500,geoId/0121280,geoId/0132704,geoId/0144800"
geoId/02,County,"geoId/02013,geoId/02016,geoId/02020,geoId/02050,geoId/02060"
geoId/02290,City,"geoId/0201305,geoId/0201860,geoId/0203880,geoId/0203990,geoId/0205750"
geoId/04,County,"geoId/04001,geoId/04003,geoId/04005,geoId/04007,geoId/04009"
geoId/04027,City,"geoId/0404710,geoId/0404930,geoId/0408020,geoId/0418160,geoId/0419790"
geoId/05,County,"geoId/05001,geoId/05003,geoId/05005,geoId/05007,geoId/05009"
geoId/05149,City,"geoId/0504960,geoId/0512940,geoId/0515310,geoId/0517320,geoId/0517380"
geoId/06,County,"geoId/06001,geoId/06003,geoId/06005,geoId/06007,geoId/06009"
geoId/06115,City,"geoId/0604576,geoId/0610676,geoId/0612612,geoId/0619416,geoId/0641572"
geoId/08,County,"geoId/08001,geoId/08003,geoId/08005,geoId/08007,geoId/08009"
geoId/08125,City,"geoId/0801805,geoId/0823025,geoId/0838425,geoId/0839745,geoId/0840900"
geoId/09,County,"geoId/09001,geoId/09003,geoId/09005,geoId/09007,geoId/09009"
geoId/09190,City,"geoId/0902480,geoId/0904790,geoId/0904965,geoId/0906155,geoId/0906680"
geoId/10,County,"geoId/10001,geoId/10003,geoId/10005"
geoId/10005,City,"geoId/1005690,geoId/1005820,geoId/1006730,geoId/1008680,geoId/1018950"
geoId/11,County,geoId/11001
geoId/11001,City,"geoId/1150000,wikidataId/Q1468648"
geoId/12,County,"geoId/12001,geoId/12003,geoId/12005,geoId/12007,geoId/12009"
geoId/12133,City,"geoId/1210975,geoId/1211975,geoId/1217710,geoId/1219725,geoId/1274125"
geoId/13,County,"geoId/13001,geoId/13003,geoId/13005,geoId/13007,geoId/13009"
geoId/13321,City,"geoId/1362496,geoId/1374432,geoId/1375188,geoId/1380676"
geoId/15,County,"geoId/15001,geoId/15003,geoId/15005,geoId/15007,geoId/15009"
geoId/15009,City,"geoId/1509260,geoId/1510900,geoId/1511350,geoId/1520000,geoId/1522700"
geoId/16,County,"geoId/16001,geoId/16003,geoId/16005,geoId/16007,geoId/16009"
geoId/16087,City,"geoId/1312520,geoId/1612520,geoId/1652750,geoId/1686140"
geoId/17,County,"geoId/17001,geoId/17003,geoId/17005,geoId/17007,geoId/17009"
geoId/17203,City,"geoId/1704273,geoId/1705261,geoId/1711878,geoId/1714793,geoId/1716119"
geoId/18,County,"geoId/18001,geoId/18003,geoId/18005,geoId/18007,geoId/18009"
geoId/18183,City,"geoId/1812610,geoId/1813564,geoId/1814104,geoId/1814698,geoId/1814716"
geoId/19,County,"geoId/19001,geoId/19003,geoId/19005,geoId/19007,geoId/19009"
geoId/19197,City,"geoId/1905680,geoId/1913620,geoId/1922305,geoId/1923250,geoId/1929550"
geoId/20,County,"geoId/20001,geoId/20003,geoId/20005,geoId/20007,geoId/20009"
geoId/20209,City,"geoId/2007975,geoId/2017475,geoId/2020000,geoId/2036000,geoId/2037975"
geoId/21,County,"geoId/21001,geoId/21003,geoId/21005,geoId/21007,geoId/21009"
geoId/21239,City,"geoId/2152140,geoId/2179482"
geoId/22,County,"geoId/22001,geoId/22003,geoId/22005,geoId/22007,geoId/22009"
geoId/22127,City,"geoId/2203390,geoId/2211930,geoId/2221170,geoId/2238845,geoId/2238880"
geoId/23,County,"geoId/23001,geoId/23003,geoId/23005,geoId/23007,geoId/23009"
geoId/23031,City,"geoId/2300275,geoId/2300695,geoId/2300730,geoId/2301605,geoId/2304685"
geoId/24,County,"geoId/24001,geoId/24003,geoId/24005,geoId/24009,geoId/24011"
geoId/24510,City,geoId/2404000
geoId/25,County,"geoId/25001,geoId/25003,geoId/25005,geoId/25007,geoId/25009"
geoId/25027,City,"geoId/2501885,geoId/2502515,geoId/2502760,geoId/2503355,geoId/2503705"
geoId/26,County,"geoId/26001,geoId/26003,geoId/26005,geoId/26007,geoId/26009"
geoId/26165,City,"geoId/2603060,geoId/2609560,geoId/2609580,geoId/2611480,geoId/2612290"
geoId/27,County,"geoId/27001,geoId/27003,geoId/27005,geoId/27007,geoId/27009"
geoId/27173,City,"geoId/2708884,geoId/2709604,geoId/2711656,geoId/2717900,geoId/2717918"
geoId/28,County,"geoId/28001,geoId/28003,geoId/28005,geoId/28007,geoId/28009"
geoId/28163,City,"geoId/2805340,geoId/2805380,geoId/2821420,geoId/2865680,geoId/2881520"
geoId/29,County,"geoId/29001,geoId/29003,geoId/29005,geoId/29007,geoId/29009"
geoId/29510,City,"geoId/1739656,geoId/2904906,geoId/2965000,wikidataId/Q1800164"
geoId/30,County,"geoId/30001,geoId/30003,geoId/30005,geoId/30007,geoId/30009"
geoId/30111,City,"geoId/3000400,geoId/3003625,geoId/3006550,geoId/3009775,geoId/3018700"
geoId/31,County,"geoId/31001,geoId/31003,geoId/31005,geoId/31007,geoId/31009"
geoId/31185,City,"geoId/3104195,geoId/3106050,geoId/3120225,geoId/3122080,geoId/3129645"
geoId/32,County,"geoId/32001,geoId/32003,geoId/32005,geoId/32007,geoId/32009"
geoId/32510,City,geoId/3209700
geoId/33,County,"geoId/33001,geoId/33003,geoId/33005,geoId/33007,geoId/33009"
geoId/33019,City,"geoId/3300260,geoId/3311300,geoId/3311380,geoId/3312900,geoId/3315060"
geoId/34,County,"geoId/34001,geoId/34003,geoId/34005,geoId/34007,geoId/34009"
geoId/34041,City,"geoId/3400640,geoId/3400670,geoId/3401030,geoId/3401300,geoId/3401900"
geoId/35,County,"geoId/35001,geoId/35003,geoId/35005,geoId/35006,geoId/35007"
geoId/35061,City,"geoId/3500940,geoId/3506480,geoId/3508580,geoId/3512786,geoId/3514670"
geoId/36,County,"geoId/36001,geoId/36003,geoId/36005,geoId/36007,geoId/36009"
geoId/36123,City,"geoId/3604594,geoId/3606002,geoId/3620896,geoId/3621050,geoId/3638044"
