Place,Var
Earth,Amount_Consumption_Electricity_PerCapita
Earth,Amount_Consumption_RenewableEnergy_AsFractionOf_Amount_Consumption_Energy
Earth,Amount_EconomicActivity_ExpenditureActivity_EducationExpenditure_Government_AsFractionOf_Amount_EconomicActivity_ExpenditureActivity_Government
Earth,Amount_EconomicActivity_ExpenditureActivity_EducationExpenditure_Government_AsFractionOf_Amount_EconomicActivity_GrossDomesticProduction_Nominal
Earth,Amount_EconomicActivity_ExpenditureActivity_HealthcareExpenditure_AsFractionOf_Count_Person
Earth,Amount_EconomicActivity_ExpenditureActivity_MilitaryExpenditure_Government
Earth,Amount_EconomicActivity_ExpenditureActivity_MilitaryExpenditure_Government_AsFractionOf_Amount_EconomicActivity_GrossDomesticProduction_Nominal
Earth,Amount_EconomicActivity_GrossDomesticProduction_Nominal
Earth,Amount_EconomicActivity_GrossDomesticProduction_Nominal_PerCapita
Earth,Amount_Emissions_CarbonDioxide_PerCapita
Earth,Amount_Production_ElectricityFromNuclearSources_AsFractionOf_Amount_Production_Energy
Earth,Amount_Production_ElectricityFromOilGasOrCoalSources_AsFractionOf_Amount_Production_Energy
Earth,Amount_Remittance_InwardRemittance
Earth,Amount_Remittance_InwardRemittance_AsFractionOf_Amount_EconomicActivity_GrossDomesticProduction_Nominal
Earth,Amount_Remittance_OutwardRemittance
Earth,Count_CriminalActivities_MurderAndNonNegligentManslaughter_AsFractionOf_Count_Person
Earth,Count_Death_AsAFractionOfCount_Person
Earth,Count_Death_IntentionalSelfHarm_AsFractionOf_Count_Person
Earth,Count_Person
Earth,Count_Person_InLaborForce
Earth,Count_Product_MobileCellularSubscription_AsFractionOf_Count_Person
Earth,FertilityRate_Person_Female
Earth,GrowthRate_Count_Person
Earth,LifeExpectancy_Person
Earth,LifeExpectancy_Person_Female
Earth,LifeExpectancy_Person_Male
Earth,eia/INTL.4008-8-MMTCD.A
country/BRA,Amount_Consumption_Electricity_PerCapita
country/BRA,Amount_Consumption_RenewableEnergy_AsFractionOf_Amount_Consumption_Energy
country/BRA,Amount_EconomicActivity_ExpenditureActivity_EducationExpenditure_Government_AsFractionOf_Amount_EconomicActivity_ExpenditureActivity_Government
country/BRA,Amount_EconomicActivity_ExpenditureActivity_EducationExpenditure_Government_AsFractionOf_Amount_EconomicActivity_GrossDomesticProduction_Nominal
country/BRA,Amount_EconomicActivity_ExpenditureActivity_HealthcareExpenditure_AsFractionOf_Count_Person
country/BRA,Amount_EconomicActivity_ExpenditureActivity_MilitaryExpenditure_Government
country/BRA,Amount_EconomicActivity_ExpenditureActivity_MilitaryExpenditure_Government_AsFractionOf_Amount_EconomicActivity_GrossDomesticProduction_Nominal
country/BRA,Amount_EconomicActivity_GrossDomesticProduction_Nominal
country/BRA,Amount_EconomicActivity_GrossDomesticProduction_Nominal_PerCapita
country/BRA,Amount_Emissions_CarbonDioxide_PerCapita
country/BRA,Amount_Production_ElectricityFromNuclearSources_AsFractionOf_Amount_Production_Energy
country/BRA,Amount_Production_ElectricityFromOilGasOrCoalSources_AsFractionOf_Amount_Production_Energy
country/BRA,Amount_Remittance_InwardRemittance
country/BRA,Amount_Remittance_InwardRemittance_AsFractionOf_Amount_EconomicActivity_GrossDomesticProduction_Nominal
country/BRA,Amount_Remittance_OutwardRemittance
country/BRA,Annual_Consumption_Electricity
country/BRA,Annual_Consumption_Electricity_Agriculture
country/BRA,Annual_Consumption_Electricity_CommerceAndPublicServices
country/BRA,Annual_Consumption_Electricity_Households
country/BRA,Annual_Consumption_Electricity_Manufacturing
country/BRA,Annual_Consumption_Electricity_TransportIndustry
country/BRA,Annual_Consumption_Fuel_HardCoal
country/BRA,Annual_Consumption_Fuel_NaturalGas
country/BRA,Annual_Consumption_Fuel_PetroleumCoke
country/BRA,Annual_Generation_Energy_Solar
country/BRA,Annual_Generation_Energy_Water
country/BRA,Annual_Generation_Fuel_HardCoal
country/BRA,Annual_Generation_Fuel_Nuclear
country/BRA,Annual_Generation_Fuel_PetroleumCoke
country/BRA,Count_CriminalActivities_MurderAndNonNegligentManslaughter_AsFractionOf_Count_Person
country/BRA,Count_CycloneEvent
country/BRA,Count_CycloneEvent_TropicalDisturbance
country/BRA,Count_CycloneEvent_TropicalStorm
country/BRA,Count_Death
country/BRA,Count_Death_AsAFractionOfCount_Person
country/BRA,Count_Death_Female
country/BRA,Count_Death_IntentionalSelfHarm_AsFractionOf_Count_Person
country/BRA,Count_Death_Male
country/BRA,Count_EarthquakeEvent
country/BRA,Count_EarthquakeEvent_M5To6
country/BRA,Count_EarthquakeEvent_M6To7
country/BRA,Count_EarthquakeEvent_M7To8
country/BRA,Count_Person
country/BRA,Count_Person_25To34Years
country/BRA,Count_Person_35To44Years
country/BRA,Count_Person_45To54Years
country/BRA,Count_Person_55To64Years
country/BRA,Count_Person_65To74Years
country/BRA,Count_Person_75OrMoreYears
country/BRA,Count_Person_Female
country/BRA,Count_Person_InLaborForce
country/BRA,Count_Person_Male
country/BRA,Count_Person_PerArea
country/BRA,Count_Product_MobileCellularSubscription_AsFractionOf_Count_Person
country/BRA,CumulativeCount_MedicalConditionIncident_COVID_19_ConfirmedCase
country/BRA,CumulativeCount_MedicalConditionIncident_COVID_19_PatientDeceased
country/BRA,CumulativeCount_MedicalTest_ConditionCOVID_19
country/BRA,CumulativeCount_Vaccine_COVID_19_Administered
country/BRA,FertilityRate_Person_Female
country/BRA,GiniIndex_EconomicActivity
country/BRA,GrowthRate_Count_Person
country/BRA,IncrementalCount_MedicalTest_ConditionCOVID_19
country/BRA,IncrementalCount_Vaccine_COVID_19_Administered
country/BRA,LifeExpectancy_Person
